
rp OLSR, nn 20, random seed 1, Received: 2068 | Sent: 5980 | Dropped: 3912, PLR: 65.418060%
rp OLSR, nn 20, random seed 2, Received: 2116 | Sent: 5980 | Dropped: 3864, PLR: 64.615385%
rp OLSR, nn 20, random seed 3, Received: 1667 | Sent: 5980 | Dropped: 4313, PLR: 72.123746%
rp OLSR, nn 20, random seed 4, Received: 2292 | Sent: 5980 | Dropped: 3688, PLR: 61.672241%
rp OLSR, nn 20, random seed 5, Received: 1986 | Sent: 5980 | Dropped: 3994, PLR: 66.789298%
rp OLSR, nn 20, random seed 6, Received: 1788 | Sent: 5980 | Dropped: 4192, PLR: 70.100334%
rp OLSR, nn 20, random seed 7, Received: 1717 | Sent: 5980 | Dropped: 4263, PLR: 71.287625%
rp OLSR, nn 20, random seed 8, Received: 2282 | Sent: 5980 | Dropped: 3698, PLR: 61.839465%
rp OLSR, nn 20, random seed 9, Received: 2244 | Sent: 5980 | Dropped: 3736, PLR: 62.474916%
rp OLSR, nn 20, random seed 10, Received: 2707 | Sent: 5980 | Dropped: 3273, PLR: 54.732441%
rp OLSR, nn 20, random seed 11, Received: 2345 | Sent: 5980 | Dropped: 3635, PLR: 60.785953%
rp OLSR, nn 20, random seed 12, Received: 2478 | Sent: 5980 | Dropped: 3502, PLR: 58.561873%
rp OLSR, nn 20, random seed 13, Received: 2633 | Sent: 5980 | Dropped: 3347, PLR: 55.969900%
rp OLSR, nn 20, random seed 14, Received: 2010 | Sent: 5980 | Dropped: 3970, PLR: 66.387960%
rp OLSR, nn 20, random seed 15, Received: 1951 | Sent: 5980 | Dropped: 4029, PLR: 67.374582%
rp OLSR, nn 20, random seed 16, Received: 2405 | Sent: 5980 | Dropped: 3575, PLR: 59.782609%
rp OLSR, nn 20, random seed 17, Received: 2433 | Sent: 5980 | Dropped: 3547, PLR: 59.314381%
rp OLSR, nn 20, random seed 18, Received: 2636 | Sent: 5980 | Dropped: 3344, PLR: 55.919732%
rp OLSR, nn 20, random seed 19, Received: 2044 | Sent: 5980 | Dropped: 3936, PLR: 65.819398%
rp OLSR, nn 20, random seed 20, Received: 2808 | Sent: 5980 | Dropped: 3172, PLR: 53.043478%
rp OLSR, nn 20, random seed 21, Received: 2449 | Sent: 5980 | Dropped: 3531, PLR: 59.046823%
rp OLSR, nn 20, random seed 22, Received: 1988 | Sent: 5980 | Dropped: 3992, PLR: 66.755853%
rp OLSR, nn 20, random seed 23, Received: 2670 | Sent: 5980 | Dropped: 3310, PLR: 55.351171%
rp OLSR, nn 20, random seed 24, Received: 2089 | Sent: 5980 | Dropped: 3891, PLR: 65.066890%
rp OLSR, nn 20, random seed 25, Received: 2120 | Sent: 5980 | Dropped: 3860, PLR: 64.548495%
rp OLSR, nn 20, random seed 26, Received: 2686 | Sent: 5980 | Dropped: 3294, PLR: 55.083612%
rp OLSR, nn 20, random seed 27, Received: 2231 | Sent: 5980 | Dropped: 3749, PLR: 62.692308%
rp OLSR, nn 20, random seed 28, Received: 1923 | Sent: 5980 | Dropped: 4057, PLR: 67.842809%
rp OLSR, nn 20, random seed 29, Received: 2151 | Sent: 5980 | Dropped: 3829, PLR: 64.030100%
rp OLSR, nn 20, random seed 30, Received: 2400 | Sent: 5980 | Dropped: 3580, PLR: 59.866221%
rp OLSR, nn 30, random seed 1, Received: 551 | Sent: 5980 | Dropped: 5429, PLR: 90.785953%
rp OLSR, nn 30, random seed 2, Received: 631 | Sent: 5980 | Dropped: 5349, PLR: 89.448161%
rp OLSR, nn 30, random seed 3, Received: 299 | Sent: 5980 | Dropped: 5681, PLR: 95.000000%
rp OLSR, nn 30, random seed 4, Received: 713 | Sent: 5980 | Dropped: 5267, PLR: 88.076923%
rp OLSR, nn 30, random seed 5, Received: 467 | Sent: 5980 | Dropped: 5513, PLR: 92.190635%
rp OLSR, nn 30, random seed 6, Received: 561 | Sent: 5980 | Dropped: 5419, PLR: 90.618729%
rp OLSR, nn 30, random seed 7, Received: 931 | Sent: 5980 | Dropped: 5049, PLR: 84.431438%
rp OLSR, nn 30, random seed 8, Received: 1193 | Sent: 5980 | Dropped: 4787, PLR: 80.050167%
rp OLSR, nn 30, random seed 9, Received: 598 | Sent: 5980 | Dropped: 5382, PLR: 90.000000%
